Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
Foerderanlage_vorh;Ist eine Förderanlage (Schnecke/Saugsystem) vorhanden?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Energietraeger» = Holz/Pellet;Nein;Nein;Transportiert Pellets vom Lager zum Kessel.;Heizung;70;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Schaeden;Sichtbare Auffälligkeiten/Schäden? (Mehrfachauswahl);Objekt;;;;Wärmeerzeuger;;Mehrfachauswahl;"keine;Korrosion/Rost;Undichtigkeit/Feuchte;Fehlermeldung am Display;weiß nicht";;-;immer;Nein;Nein;Auch Fehlercodes am Display notieren/fotografieren.;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Foto_Uebersicht;Übersichtsfoto des Erzeugers;Objekt;;;;Wärmeerzeuger;;Foto-Upload;;;-;immer;Nein;Ja;Gerät inkl. Anschlüsse und Umgebung.;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Übersicht;;Objekt
Typenschild_Foto;Foto des Typenschilds;Objekt;;;;Wärmeerzeuger;;Foto-Upload;;;-;immer;Nein;Nein;Scharf und lesbar (Hersteller, Typ, Leistung, Baujahr).;Dokumentation / Foto;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Typenschild;;Objekt
Speist_auf;Worauf speist der Erzeuger?;Objekt;;;;Wärmeerzeuger;;Einzelauswahl;"direkt Heizkreis;Pufferspeicher;Kombispeicher;hydraulische Weiche;Verteiler;weiß nicht";;-;immer;Nein;Nein;Verknüpfung im Anlagenschema.;Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
WP_Bauart;Bauart der Wärmepumpe?;Objekt;;;;Wärmeerzeuger;Wärmepumpe;Einzelauswahl;"Luft-Wasser;Sole-Wasser;Wasser-Wasser;Luft-Luft;weiß nicht";;-;immer;Ja;Nein;Wärmequelle → Wärmeträger.;Heizung;80;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
WP_Aufstellung;Aufstellung der Wärmepumpe?;Objekt;;;;Wärmeerzeuger;Wärmepumpe;Einzelauswahl;"Monoblock (außen);Split (innen+außen);Innenaufstellung;weiß nicht";;-;immer;Nein;Nein;;Heizung;81;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
WP_Kaeltemittel;Kältemittel (falls ablesbar)?;Objekt;;;;Wärmeerzeuger;Wärmepumpe;Text;;;-;immer;Nein;Nein;Steht auf dem Typenschild, z. B. R290, R32.;Heizung;82;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
BHKW_el;Elektrische Leistung (kW)?;Objekt;;;;Wärmeerzeuger;BHKW;Zahl;;;kW;immer;Nein;Nein;Vom Typenschild.;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
FW_Uebergabe;Übergabe direkt oder indirekt?;Objekt;;;;Wärmeerzeuger;Fernwärme-Übergabestation;Einzelauswahl;"direkt;indirekt (mit Wärmeübertrager);weiß nicht";;-;immer;Nein;Nein;Indirekt = Trennung über einen Wärmeübertrager.;Heizung;80;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Abgas_Art;Art der Abgasführung?;Objekt;;;;Wärmeerzeuger;Abgasinstallation;Einzelauswahl;"Schornstein (gemauert);Edelstahlschornstein;LAS (raumluftunabhängig);Abgasrohr über Dach;über Fassade;weiß nicht";;-;immer;Ja;Nein;;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Abgas_Zustand;Zustand der Abgasanlage?;Objekt;;;;Wärmeerzeuger;Abgasinstallation;Einzelauswahl;"intakt;Rußspuren;Korrosion/Feuchte;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;-;;Sub-Objekt
Abgas_Foto;Foto der Abgasanlage;Objekt;;;;Wärmeerzeuger;Abgasinstallation;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Tank_Bauart;Bauart des Öltanks?;Objekt;;;;Wärmeerzeuger;Öltank;Einzelauswahl;"Batterietank (Kunststoff);Stahltank;Erdtank;gemauerter Kellertank;weiß nicht";;-;immer;Ja;Nein;;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Tank_Volumen;Gesamtvolumen (Liter)?;Objekt;;;;Wärmeerzeuger;Öltank;Zahl;;;l;immer;Nein;Nein;Summe aller Tanks.;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Tank_Auffangwanne;Auffangwanne / Doppelwand vorhanden?;Objekt;;;;Wärmeerzeuger;Öltank;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Sicherheit gegen Ölaustritt.;Heizung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Tank_Foto;Foto des Öltanks;Objekt;;;;Wärmeerzeuger;Öltank;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Silo_Bauart;Bauart des Pelletlagers?;Objekt;;;;Wärmeerzeuger;Pelletsilo;Einzelauswahl;"Gewebetank;Erdtank;baulicher Lagerraum;weiß nicht";;-;immer;Ja;Nein;;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Silo_Groesse;Fassungsvermögen (t)?;Objekt;;;;Wärmeerzeuger;Pelletsilo;Zahl;;;t;immer;Nein;Nein;Ungefähre Menge in Tonnen.;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Silo_Foto;Foto des Pelletlagers;Objekt;;;;Wärmeerzeuger;Pelletsilo;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Foerder_Art;Art der Förderung?;Objekt;;;;Wärmeerzeuger;Förderanlage;Einzelauswahl;"Förderschnecke;Saugsystem;weiß nicht";;-;immer;Ja;Nein;;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Foerder_Foto;Foto der Förderanlage;Objekt;;;;Wärmeerzeuger;Förderanlage;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Ruecklauftemperatur;Rücklauftemperatur am Erzeuger (°C)?;Objekt;;;;Wärmeerzeuger;;Zahl;;;°C;immer;Nein;Nein;Falls an der Regelung/am Fühler ablesbar. Zusammen mit dem Vorlauf wichtig für die Bewertung.;Heizung;25;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Kondensatanschluss;Kondensat-/Abwasseranschluss?;Objekt;;;;Wärmeerzeuger;;Einzelauswahl;"vorhanden;fehlt (erforderlich);nicht erforderlich;weiß nicht";;-;immer;Nein;Nein;Brennwertkessel brauchen einen Kondensatablauf ins Abwasser.;Heizung;35;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Neutralisation;Neutralisationseinrichtung für Kondensat vorhanden?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Kondensatanschluss» = vorhanden;Nein;Nein;Neutralisiert das saure Kondensat (v. a. bei Öl).;Heizung;36;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Sockel_vorh;Steht der Erzeuger auf einem Sockel/Podest?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;"Bei „Ja"" folgt die Sockel-Erfassung mit Maßen.";Geometrie & Maße (Dimensionen);40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Steuereinheit_vorh;Ist eine eingebaute Steuer-/Regeleinheit vorhanden?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Integrierte Kesselsteuerung/Display am Gerät (nicht die separate Wandregelung).;Heizung;45;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Abgas_Siegel;Schornsteinfeger-Prüfplakette/Siegel vorhanden?;Objekt;;;;Wärmeerzeuger;Abgasinstallation;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Aufkleber/Plakette vom Schornsteinfeger.;Allgemein / Identifikation;15;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Sub-Objekt
Abgas_Siegel_Datum;Letztes Prüfdatum (falls lesbar)?;Objekt;;;;Wärmeerzeuger;Abgasinstallation;Text;;;-;«Abgas_Siegel» = Ja;Nein;Nein;Datum von der Plakette.;Allgemein / Identifikation;16;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;-;;Sub-Objekt
Abgas_Siegel_Foto;Foto der Prüfplakette;Objekt;;;;Wärmeerzeuger;Abgasinstallation;Foto-Upload;;;-;«Abgas_Siegel» = Ja;Nein;Nein;Plakette scharf und lesbar.;Dokumentation / Foto;15;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Typenschild;;Sub-Objekt
Sockel_Laenge;Sockel: Länge (cm)?;Objekt;;;;(Basis);Sockel;Zahl;;;cm;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Sockel_Breite;Sockel: Breite (cm)?;Objekt;;;;(Basis);Sockel;Zahl;;;cm;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Sockel_Hoehe;Sockel: Höhe (cm)?;Objekt;;;;(Basis);Sockel;Zahl;;;cm;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Sockel_Foto;Foto des Sockels;Objekt;;;;(Basis);Sockel;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Steuer_Display;Art des Displays/der Bedienung?;Objekt;;;;Heizungsregelung;Kesselsteuerung (integriert);Einzelauswahl;"analog/Drehknöpfe;digital (Display);Touch/App-fähig;weiß nicht";;-;immer;Ja;Nein;;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Steuer_Foto;Foto der Steuereinheit (inkl. evtl. Fehlercode);Objekt;;;;Heizungsregelung;Kesselsteuerung (integriert);Foto-Upload;;;-;immer;Nein;Nein;Display mit aktueller Anzeige.;Dokumentation / Foto;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Typenschild;;Sub-Objekt
Volumen;Speichervolumen (Liter)?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Zahl;;;l;immer;Ja;Nein;Steht meist auf dem Typenschild.;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Hoehe;Höhe des Speichers (cm)?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Durchmesser;Durchmesser des Speichers (cm)?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Beheizungsart;Wie wird der Speicher beheizt?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Einzelauswahl;"indirekt (Heizregister/Wärmetauscher);elektrisch (Heizstab);Kombi (indirekt + Heizstab);Frischwasser/Ladesystem;weiß nicht";;-;immer;Ja;Nein;Steuert die weiteren Fragen.;Sanitär;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Anzahl_WT;Anzahl innenliegender Wärmetauscher/Register?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Einzelauswahl;"0;1;2;weiß nicht";;-;immer;Nein;Nein;2 = bivalent, z. B. Heizung + Solar.;Sanitär;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Solaranbindung;Ist der Speicher an Solarthermie angebunden?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;;Sanitär;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Speichertemperatur;Eingestellte Speichertemperatur (°C)?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Zahl;;;°C;immer;Nein;Nein;Falls an der Regelung ablesbar.;Sanitär;70;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Legionellenschaltung;Legionellenschaltung/thermische Desinfektion aktiv?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Regelmäßiges Aufheizen gegen Legionellen.;Sanitär;80;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Daemmung_vorh;Ist der Speicher gedämmt?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Einzelauswahl;"ja, werkseitig;nachträglich gedämmt;nein;weiß nicht";;-;immer;Ja;Nein;"Bei „ja"" folgt die Dämmung-Erfassung (Art/Stärke/Zustand).";Bauphysik – Hülle;90;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Schaeden;Sichtbare Schäden? (Mehrfachauswahl);Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Mehrfachauswahl;"keine;Korrosion/Rost;Undichtigkeit/Feuchte;Dämmung beschädigt;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Foto_Uebersicht;Übersichtsfoto des Speichers;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Foto-Upload;;;-;immer;Nein;Ja;Speicher inkl. Anschlüsse und Umgebung.;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Übersicht;;Objekt
Anode_vorh;Ist eine Schutz-/Opferanode vorhanden?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;"Korrosionsschutz im Speicher; oben eingeschraubt.";Sanitär;100;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Reinigung_vorh;Ist eine Reinigungs-/Revisionsöffnung vorhanden?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Flansch/Deckel zur Innenreinigung.;Sanitär;110;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Heizstab_vorh;Ist ein elektrischer Heizstab vorhanden?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Zusatzheizung, oft für Notbetrieb/Legionellen.;Sanitär;120;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
WUET_vorh;Externe Ladeeinheit / Wärmeübertrager vorhanden?;Objekt;;;;TWW-Erzeugung;Trinkwarmwasserspeicher;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Bei Frischwasser-/Ladesystemen außen am Speicher.;Sanitär;130;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Anode_Typ;Anodentyp?;Objekt;;;;TWW-Erzeugung;Opferanode;Einzelauswahl;"Magnesium-Opferanode;Fremdstromanode;weiß nicht";;-;immer;Ja;Nein;Fremdstromanoden brauchen Strom und sind wartungsarm.;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Anode_Zustand;Zustand/letzte Prüfung der Anode?;Objekt;;;;TWW-Erzeugung;Opferanode;Einzelauswahl;"ok/geprüft;verbraucht;unbekannt";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Anode_Foto;Foto der Anode/Einschrauböffnung;Objekt;;;;TWW-Erzeugung;Opferanode;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;Detail;;Sub-Objekt
Reinig_Zugang;Zugänglichkeit der Reinigungsöffnung?;Objekt;;;;TWW-Erzeugung;Reinigungsöffnung;Einzelauswahl;"frei zugänglich;teils verbaut;verbaut;weiß nicht";;-;immer;Nein;Nein;;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Reinig_Foto;Foto der Reinigungsöffnung;Objekt;;;;TWW-Erzeugung;Reinigungsöffnung;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;Detail;;Sub-Objekt
Heizstab_Leistung;Leistung des Heizstabs (kW)?;Objekt;;;;TWW-Erzeugung;Elektro-Heizstab;Zahl;;;kW;immer;Nein;Nein;Vom Typenschild.;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Heizstab_Foto;Foto des Heizstabs/Anschlusses;Objekt;;;;TWW-Erzeugung;Elektro-Heizstab;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;Detail;;Sub-Objekt
WUET_Medien;Medienpaarung des Wärmeübertragers?;Objekt;;;;TWW-Installation;Wärmeübertrager (WÜT);Einzelauswahl;"Wasser/Wasser;Wasser/Sole;weiß nicht";;-;immer;Nein;Nein;Primär-/Sekundärseite.;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
WUET_Foto;Foto des Wärmeübertragers;Objekt;;;;TWW-Installation;Wärmeübertrager (WÜT);Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;Detail;;Sub-Objekt
Montageart;Wie ist das Waschbecken montiert?;Objekt;;;;Sanitärobjekte;Waschbecken;Einzelauswahl;"wandhängend;auf Unterschrank/Möbel;Standwaschbecken;Einbau (in Platte);weiß nicht";;-;immer;Ja;Nein;;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Material;Material des Waschbeckens?;Objekt;;;;Sanitärobjekte;Waschbecken;Einzelauswahl;"Keramik;Mineralguss;Edelstahl;Glas;weiß nicht";;-;immer;Nein;Nein;;Sanitär;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Breite;Breite des Beckens (cm)?;Objekt;;;;Sanitärobjekte;Waschbecken;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Hahnloecher;Anzahl der Hahnlöcher?;Objekt;;;;Sanitärobjekte;Waschbecken;Einzelauswahl;"0;1;2;weiß nicht";;-;immer;Nein;Nein;Bestimmt die Armaturenart.;Sanitär;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Schaeden;Sichtbare Schäden? (Mehrfachauswahl);Objekt;;;;Sanitärobjekte;Waschbecken;Mehrfachauswahl;"keine;Riss/Abplatzung;Kalk/Verfärbung;undicht;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Foto_Uebersicht;Übersichtsfoto des Waschbeckens;Objekt;;;;Sanitärobjekte;Waschbecken;Foto-Upload;;;-;immer;Nein;Ja;Becken inkl. Armatur und Unterbau.;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Übersicht;;Objekt
Armatur_vorh;Ist eine Armatur (Wasserhahn) vorhanden?;Objekt;;;;Sanitärobjekte;Waschbecken;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;;Sanitär;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Eckventil_vorh;Sind Eckventile (Absperrung unter dem Becken) vorhanden?;Objekt;;;;Sanitärobjekte;Waschbecken;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Kleine Absperrventile am Zulauf unter dem Becken.;Sanitär;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Vorwand_vorh;Ist ein Vorwandinstallationselement vorhanden?;Objekt;;;;Sanitärobjekte;Waschbecken;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;"Traggestell hinter der Wand (meist verdeckt). Falls bekannt/zugänglich „Ja"".";Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Siphon_vorh;Ist ein Ablauf/Siphon vorhanden?;Objekt;;;;Sanitärobjekte;Waschbecken;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Geruchsverschluss unter dem Becken – Übergang ins Abwasser.;Sanitär;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Arm_Typ;Art der Armatur?;Objekt;;;;Sanitärobjekte;Sanitärarmatur (Mischer/Batterie);Einzelauswahl;"Einhebelmischer;Zweigriffarmatur;Selbstschluss/Sensor;Wandarmatur;weiß nicht";;-;immer;Ja;Nein;;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Sub-Objekt
Arm_Foto;Foto der Armatur (Typ/Hersteller);Objekt;;;;Sanitärobjekte;Sanitärarmatur (Mischer/Batterie);Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Typenschild;;Sub-Objekt
Eck_Anzahl;Anzahl der Eckventile?;Objekt;;;;Wasserarmaturen;Eckventil;Einzelauswahl;"1;2;weiß nicht";;-;immer;Nein;Nein;;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Eck_Zustand;Zustand der Eckventile?;Objekt;;;;Wasserarmaturen;Eckventil;Einzelauswahl;"dicht;tropft;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Sub-Objekt
Eck_Foto;Foto der Eckventile;Objekt;;;;Wasserarmaturen;Eckventil;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Vorwand_Bauart;Bauart des Vorwandelements?;Objekt;;;;Sanitärobjekte;Vorwandinstallationselement;Einzelauswahl;"Ständerwerk (Trockenbau);Nassbau/gemauert;weiß nicht";;-;immer;Nein;Nein;Oft nur bei offener Wand erkennbar.;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Vorwand_Hersteller;Hersteller/System (falls bekannt)?;Objekt;;;;Sanitärobjekte;Vorwandinstallationselement;Text;;;-;immer;Nein;Nein;z. B. Geberit, TECE – falls sichtbar oder bekannt.;Allgemein / Identifikation;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Vorwand_Foto;Foto des Vorwandelements (falls zugänglich);Objekt;;;;Sanitärobjekte;Vorwandinstallationselement;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;Detail;;Sub-Objekt
Siphon_Material;Material des Siphons?;Objekt;;;;Sanitärobjekte;Ablaufgarnitur/Siphon;Einzelauswahl;"Kunststoff;verchromt/Metall;weiß nicht";;-;immer;Nein;Nein;;Sanitär;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Siphon_Zustand;Zustand/Dichtheit des Ablaufs?;Objekt;;;;Sanitärobjekte;Ablaufgarnitur/Siphon;Einzelauswahl;"dicht;undicht/Feuchtespuren;weiß nicht";;-;immer;Ja;Nein;Feuchte/Kalk am Siphon deutet auf Undichtigkeit.;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Sub-Objekt
Siphon_Foto;Foto des Siphons/Ablaufs;Objekt;;;;Sanitärobjekte;Ablaufgarnitur/Siphon;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
Bauart;Bauart der Vakuumröhren?;Objekt;;;;Solarkollektoren;Röhrenkollektor;Einzelauswahl;"Heatpipe (trocken);direkt durchströmt (nass);weiß nicht";;-;immer;Ja;Nein;"Heatpipe = einzeln tauschbar; direkt durchströmt = Medium fließt durch die Röhre.";Solar;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
