Objektklasse;Objekttyp;Objektart;Gewerk;Erlaubte_Elternklasse;Aktiv;Notiz
Bauphysik – Fenster;Pfosten;Sub-Objekt;Bauphysik;"Fenster;Fenstertür";Ja;
Bauphysik – Fenster;Rollladenkasten;Sub-Objekt;Bauphysik;"Fenster;Fenstertür";Ja;oft größte lineare Wärmebrücke
Bauphysik – Fenster;Fensterbank;Sub-Objekt;Bauphysik;"Fenster;Fenstertür";Ja;
Bauphysik – Fenster;Sonnenschutz/Verschattung;Sub-Objekt;Bauphysik;"Fenster;Fenstertür;Dachflächenfenster";Ja;
Bauphysik – Türen;Tür (Drehflügel);Objekt;Bauphysik;Raum;Ja;"klassische Tür; innen/außen/brandschutz/sicherheit über Attribute"
Bauphysik – Türen;Schiebetür;Objekt;Bauphysik;Raum;Ja;zusätzlich: Laufart Tasche/Aufputz/Nische
Bauphysik – Türen;Falttür;Objekt;Bauphysik;Raum;Ja;minimal: Maße, Material, Schloss/Bänder
Bauphysik – Türen;Drehtür (Karusselltür);Objekt;Bauphysik;"Raum;Außenwand";Ja;"komplex; wie Tor behandelt"
Bauphysik – Türen;Tor;Objekt;Bauphysik;"Raum;Außenwand";Ja;"Torart Sektional/Schwing/Roll/Flügel/Schiebe/Falt; Antrieb & Sicherheit"
Bauphysik – Türen;Flügel (Türblatt);Sub-Objekt;Bauphysik;"Tür (Drehflügel);Schiebetür;Falttür;Drehtür (Karusselltür)";Ja;"wiederholbar (Anzahl Flügel); öffenbar/Standflügel"
Bauphysik – Türen;Griff;Sub-Objekt;Bauphysik;Flügel (Türblatt);Ja;
Bauphysik – Türen;Schloss/Bänder;Sub-Objekt;Bauphysik;"Flügel (Türblatt);Falttür";Ja;Verriegelung, Schloss-/Schlüsselnr., Schließpunkte, Scharniere, pendelbar
Bauphysik – Türen;Einlage;Sub-Objekt;Bauphysik;"Flügel (Türblatt);Feststehendes Teil;Torblatt/Paneel";Ja;"Glas/Platte/Gitter; Flächenanteil"
Bauphysik – Türen;Schließer;Sub-Objekt;Bauphysik;Flügel (Türblatt);Ja;
Bauphysik – Türen;Zarge;Sub-Objekt;Bauphysik;"Tür (Drehflügel);Schiebetür;Falttür";Ja;Typ, Material, Schwelle
Bauphysik – Türen;Feststehendes Teil;Sub-Objekt;Bauphysik;"Tür (Drehflügel);Schiebetür;Drehtür (Karusselltür)";Ja;Seitenteil/Oberlicht + Einlage
Bauphysik – Türen;Schiebe-Führung/Tasche;Sub-Objekt;Bauphysik;Schiebetür;Ja;Wandtasche/Aufputz/Nische
Bauphysik – Türen;Torblatt/Paneel;Sub-Objekt;Bauphysik;Tor;Ja;"Paneele/Torblatt; Verglasung; Dämmung"
Bauphysik – Türen;Torantrieb/Steuerung;Sub-Objekt;Bauphysik;"Tor;Drehtür (Karusselltür)";Ja;Antriebsart, Notentriegelung, Handsender
Bauphysik – Türen;Torsicherheit;Sub-Objekt;Bauphysik;Tor;Ja;Lichtschranke, Kontaktleiste, Einzugssicherung
Bauphysik – Hülle (opak);Außenwand;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Innenwand gegen unbeheizt;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Innenwand gegen andere Einheit;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Dachschräge;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Flachdach;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Oberste Geschossdecke;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Kellerdecke/Decke gegen unbeheizt;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Bodenplatte/Boden gegen Erdreich;Objekt;Bauphysik;Gebäude;Ja;auf Gebäudeebene als Typ (AW01…) anlegen, im Raum zuordnen
Bauphysik – Hülle (opak);Schicht (Schichtaufbau);Sub-Objekt;Bauphysik;"Außenwand;Innenwand gegen unbeheizt;Innenwand gegen andere Einheit;Dachschräge;Flachdach;Oberste Geschossdecke;Kellerdecke/Decke gegen unbeheizt;Bodenplatte/Boden gegen Erdreich";Ja;wiederholbar: Material (Normkatalog) + Stärke + Anmerkung
Bauphysik – Wärmebrücken;Lineare Wärmebrücke;Objekt;Bauphysik;"Gebäude;Raum";Ja;"Länge in m; Foto-Pflicht"
Bauphysik – Wärmebrücken;Punktförmige Wärmebrücke;Objekt;Bauphysik;"Gebäude;Raum";Ja;"Anzahl; Foto-Pflicht"
